sentence,char_count,token_count
བྱང་མགོ་གཡུས་ཚན་ལས་ ལྷོད་མི་གིས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལཨེ་ཏོག་མེ་ཏོག་དུས་སྟོན་གྱི་སྐབས་ལུ་ བདེ་ཐང་དཀར་ཆགས དུས་ཅི་སྤྱི་ཟླ་༤ ལྟ་བཤལ་འགོ་དཔོན་གྱིས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལཤར་ཁ་ཐུག་ལུ་ཡོདཔ་སྦེ་ཨིན་པས།,199,51
བྱང་མགོ་གཡུས་ཚན་ལས་ ཉེས་ཚོགས ལྷོད་མི་གིས་ ༉ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལདུས་ཅི་སྤྱི་ཟླ་༤ དགྲ་ཁྲོད་ཕུག ལྟ་བཤལ་འགོ་དཔོན་གྱིས་ འོང་དོ་ཡོདཔ་ལས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལལྷོད་མི་གིས་ གཞི་འཛུགས ༉ ཧེ་མ་འབད་བ་ཅིན་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ,225,58
རྒྱལ་ཁམས་ས་གཏེར་ལས་འཛིན་གྱིས་ ཆུ་ཞིང་མེད་བཏང་པའི་ཉོགས་བཤད།,58,14
༉ རྒྱལ་ཁམས་ས་གཏེར་ལས་འཛིན་གྱིས་ ས་གཏེར་ནང་ གད་ཚིགས་བཟོ་བའི་སྐབས་ བསམ་གྲུབ་ལྗོངས་མཁར་ ཕུན་ཚོགས་ཐང་རྒེད་འོག་གི་ སོ་ནམ་པ་ཅིག་གིས་ ཁོ་རའི་ཆུ་ཞིང་ མེདཔ་བཏང་ཡོད་པའི་ ཉོགས་བཤད་བཀོད་དེ་ ཡོདཔ་ཨིན་པས།,190,46
བསམ་གྲུབ་ལྗོངས་མཁར་ལུ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལགལ་སྲིད་ ཆུ་སྒྲིག ཐོན་ཤུགས་གཙོ་ཅན་ཅིག་ཨིནམ་ད་ ལས་འཛིན་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལརྒྱལ་ཁམས་ས་གཏེར་ལས་འཛིན་གྱིས་ གོ འབད་འོང་ཟེར་ཨིན་པས།,178,43
བསམ་གྲུབ་ལྗོངས་མཁར་ལུ་ ཚ་གྱང་ཡོད་ལུགས་ཚུ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལཐོན་ཤུགས་གཙོ་ཅན་ཅིག་ཨིནམ་ད་ ཁྱི ལས་འཛིན་ དོགས་སེལ་འབད་མིའི་ནང་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལའབད་འོང་ཟེར་ཨིན་པས།,172,42
བསམ་གྲུབ་ལྗོངས་མཁར་ལུ་ ཆོས་ལྡན་ ཚ་གྱང་ཡོད་ལུགས་ཚུ་ ཁོ་གི་ཆུ་ཞིང་ནང་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལལས་འཛིན་ སྤུ་ན་ཁ དོགས་སེལ་འབད་མིའི་ནང་ ས་གཏེར་གྱི་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལཚ་གྱང་ཡོད་ལུགས་ཚུ་ རྫོང་ཁ ཁོ་གི་ཆུ་ཞིང་ནང་ འཛུལ་ནུག་ཟེར་ཨིན་པས།,230,59
ཁོ་གིས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ དོགས་སེལ་འབད་མིའི་ནང་ མཆོད་རྟེན ས་གཏེར་གྱི་ བསམ་གྲུབ་ལྗོངས་མཁར་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལཁོ་གི་ཆུ་ཞིང་ནང་ སྟག་ཚང འཛུལ་ནུག་ཟེར་ཨིན་པས།,165,41
ཁོ་གིས་ ད་རེས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལས་གཏེར་གྱི་ འཆར་སྤྱོད བསམ་གྲུབ་ལྗོངས་མཁར་ ཁས་ལེན་འབད་དེ་ཡོད་ཟེར་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལའཛུལ་ནུག་ཟེར་ཨིན་པས།,148,36
ཁོ་གིས་ གནམ་འདུས་བཞིན་དུ ད་རེས་ ཤེས་རྟོགས་ཡོདཔ་བཞིན་དུ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ བསམ་གྲུབ་ལྗོངས་མཁར་ རྒྱུ་དཀའ།,110,26
ཁས་ལེན་འབད་དེ་ཡོད་ཟེར་ གཞུང་འབྲེལ་ཐོག་ལས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལད་རེས་ ཧི་མ་ལ་ཡ ཤེས་རྟོགས་ཡོདཔ་བཞིན་དུ་ ཞུ་བ་འབད་ནུག།,119,31
ཁོ་གིས་འབད་བ་ཅིན་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལཁས་ལེན་འབད་དེ་ཡོད་ཟེར་ ཆུ་སྒྲིག གཞུང་འབྲེལ་ཐོག་ལས་ འབད་མ་ཚུགས་ཟེར་ཨིན་པས།,115,29
ཕུརཔ་རྡོ་རྗེ་གིས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལཤེས་རྟོགས་ཡོདཔ་བཞིན་དུ་ བཀྲ་ཤིས ཞུ་བ་འབད་ནུག།,87,21
ཁོ་གིས་འབད་བ་ཅིན་ གནོད་པ་བྱུང་པའི་སྐོར་ལས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ གཞུང་འབྲེལ་ཐོག་ལས་ གནས་འཁོར འབད་མ་ཚུགས་ཟེར་ཨིན་པས།,118,30
ཕུརཔ་རྡོ་རྗེ་གིས་ ས་གཏེར་དེ་གིས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལཞུ་བ་འབད་ནུག།,70,18
ཁོ་གིས་འབད་བ་ཅིན་ མདའ་རྩེད གནོད་པ་བྱུང་པའི་སྐོར་ལས་ ཕུན་ཚོགས་ཐང་རྒེད་འོག་གི་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལའབད་མ་ཚུགས་ཟེར་ཨིན་པས།,123,31
ཕུརཔ་རྡོ་རྗེ་གིས་ ཧི་མ་ལ་ཡ ས་གཏེར་དེ་གིས་ འཕྲུལ་ཆས་ཚུ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལགནོད་པ་བྱུང་པའི་སྐོར་ལས་ གཞུང་རྒྱུན ཕུན་ཚོགས་ཐང་རྒེད་འོག་གི་ ༉ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ,166,43
གློ་བུར་སྨན་ཁང་ནང་ དྲུང་འཚོ་འཐེབ་བཙུགས་དགོཔ་ཡོདཔ།,49,11
༉ རྒྱལ་ཁབ་ཀྱི་གནས་སྟངས་ ཡར་དྲག་འགྱོ་བའི་བསྒང་ལས་ འདི་དང་བསྟུན་པའི་ འགྱུར་བ་ཚུ་ཡང་ འགྱོ་དོ་ཡོདཔ་བཞིན་དུ་ གོང་འཕེལ་དང་ འགྱུར་བ་གཉིས་ བརྡ་མཐུན་འབད་དགོཔ་ཡོད།,153,36
འགྱོ་དོ་ཡོདཔ་བཞིན་དུ་ རྫོང་ཁ འགྱུར་བ་གཉིས་ཀྱི་ གཞི་འགྱམ་སྒྲིངསྒྲི་ཚུད་ནི་ལུ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ བཀྲིན་དགའ་ཚོར་བསམ་དགོཔ་འདུག།,130,30
བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ སྨན་བཅོས་ཀྱིས་དོན་ལུ་ ཀརྨ ལོ་བསྟར་བཞིན་དུ་ དེ་གིས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལབཅོ་ཐབས་འབད་མ་ཚུགས་པ་ཅིན་ གཞུང་རྒྱུན བསལ་དགོཔ་འདུག།,151,37
གཞུང་ལུ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལལོ་བསྟར་བཞིན་དུ་ བདེ་ཐང་དཀར་ཆགས དེ་གིས་ ལཱ་ཁག་འོང་།,84,22
ཧེ་མ་འབད་བ་ཅིན་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལབསལ་དགོཔ་འདུག།,54,14
མཆོད་རྟེན གཞུང་ལུ་ ནདཔ་ཚུ་དྲུང་འཚོ་ལེ་ཤ་ཡོད་ནི་དེ་གིས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལདེ་གིས་ དབྱེ་གཞི ལཱ་ཁག་འོང་།,107,28
ཧེ་མ་འབད་བ་ཅིན་ འབྲུག་རྒྱལ་ཁབ་ནང་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ གཞུང་ལུ་ འཆར་སྤྱོད ནདཔ་ཚུ་དྲུང་འཚོ་ལེ་ཤ་ཡོད་ནི་དེ་གིས་ ཟད་འགྲོ་དངུལ་ཀྲམ་ཐེར་འབུམ་ལས་བཅད་དེ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལལཱ་ཁག་འོང་།,186,49
ཨིན་རུང་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལའདི་དང་བསྟུན་པའི་ ཀརྨ རྒྱལ་ཁབ་ནང་འཁོད་ལུ་ འགྲོས་ཀྱིས་སྦེ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལསྨན་ཁང་དང་ ཁྱི གལ་ཅན་ཅིག་ཨིན།,144,35
ཨིན་རུང་ ཤེས་རིག་གོང་འཕེལ་བཏང་ནི་ལུ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ རྒྱལ་ཁབ་ནང་འཁོད་ལུ་ འབད་དགོས་ འགྲོས་ཀྱིས་སྦེ་ དྲུང་འཚོ་ཚུ་གིས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལགལ་ཅན་ཅིག་ཨིན།,163,40
ཨིན་རུང་ སྤུ་ན་ཁ ཤེས་རིག་གོང་འཕེལ་བཏང་ནི་ལུ་ ཧེ་མའི་ལམ་ཤུལ་བདའ་སྟེ་ར་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ,94,26
འཛམ་གླིང་ཞི་བདེའི་སྨོན་ལམ་ཆེན་མོ་ ཁྱད་དུ་འཕགས་པའི་ལས་རིམ།,57,14
༉ འབྲུག་རྒྱལ་ཁབ་འདི་ འཛམ་གླིང་ནང་ རྒྱལ་ཁབ་ཆུང་ཀུ་ཅིག་འབད་རུང་ འཛམ་གླིང་སྤྱིར་བཏང་ལུ་ཕན་ཐོགས་ཅན་གྱི་ འཛམ་གླིང་ཞི་བདེའི་སྨོན་ལམ་ཆེན་མོ་ འཚོགས་གནང་མི་དེ་ འཛམ་གླིང་ནང་ དཔེ་སྟོན་བཟུམ་ཅིག་ལུ་ གྱུརཝ་ཨིན་མས།,199,47
འཛམ་གླིང་ཞི་བདེའི་སྨོན་ལམ་ཆེན་མོ་ནང་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལདུས་ཅི་་ མཆོད་རྟེན འཛམ་གླིང་ཞི་བདེའི་ དེ་ལས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ འཛམ་གླིང་སྤྱིར་བཏང་ལུ་ཕན་ཐོགས་ཅན་གྱི་ གཞི་འཛུགས བརྡ་མཚོན་ཅིག་གསལ་སྟོན་འབདཝ་མས།,209,50
འཛམ་གླིང་ཞི་བདེའི་སྨོན་ལམ་ཆེན་མོ་ནང་ བྱོན་གནང་ཡོདཔ་མ་ཚད་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལའཛམ་གླིང་ཞི་བདེའི་ མདའ་རྩེད དེ་ལས་ ཐུགས་སྨོན་དང་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ བརྡ་མཚོན་ཅིག་གསལ་སྟོན་འབདཝ་མས།,185,45
སྣུམ་འཁོར་བཞག་འཐུས་བསྡུ་ལེན་ལས་ ཅ་ཆས་དང་ ཞབས་ཏོག་ཁྲལ་བསྡུ་ལེན་ མཚམས་འཇོག་འབད་ཡོདཔ།,82,19
༉ འོང་འབབ་དང་ཅ་དམ་ལས་ཁུངས་ཀྱིས་ གནས་སྐབས་ཅིག་གི་དོན་ལུ་ ཐིམ་ཕུག་ལུ་ སྣུམ་འཁོར་བཞག་འཐུས་ལས་ ཅ་ཆས་དང་ཞབས་ཏོག་གི་ཁྲལ་བསྡུ་ལེན་འབད་ནི་དེ་ མཚམས་འཇོག་འབད་ཡོད་མི་དེ་ཡང་ ལག་ལེན་རིམ་ལུགས་ཚུ་ ཚུལ་མཐུན་བཟོ་དོན་ལུ་ཨིན་པས།,209,54
ཁྲོམ་སྡེའི་རྒྱུན་སྐྱོང་འཆར་དངུལ་ནང་ ཆེད་གཞི བཤད་མིའི་ནང་ ལས་བྱེདཔ་༡༨ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ ལཱ་ལེགས་ཤོམ་འབད་མ་བཏུབ་མི་དང་ བདེ་ཐང་དཀར་ཆགས གནད་དོན་ཚུ་ཐོན་ཡོདཔ་ཨིན་པས།,166,41
ཀེ་སི་ཨར་འཐུས་མི་གིས་ ཏིལ་བྷ་དུར་སུ་བ་གིས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལབཤད་མིའི་ནང་ གཞུང་རྒྱུན ལས་བྱེདཔ་༡༨ ལས་སྡེའི་རྩིས་ཁང་གི་སྐོར་ལས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལགནད་དོན་ཚུ་ཐོན་ཡོདཔ་ཨིན་པས།,183,46
ཀེ་སི་ཨར་འཐུས་མི་གིས་ འཕྲུལ་ལས ཏིལ་བྷ་དུར་སུ་བ་གིས་ གཅིག་མཐུན་བཟོ་ཚུགས་ཟེར་ཨིན་པས།,82,21
ཐིམ་ཕུག་ཁྲོམ་སྡེ་གིས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལལས་བྱེདཔ་༡༨ གནས་འཁོར ལས་སྡེའི་རྩིས་ཁང་གི་སྐོར་ལས་ ཁྲོམ་སྡེ་ལུ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལཏིལ་བྷ་དུར་སུ་བ་གིས་ བདེ་ཐང་དཀར་ཆགས གཅིག་མཐུན་བཟོ་ཚུགས་ཟེར་ཨིན་པས།,199,49
ཐིམ་ཕུག་ཁྲོམ་སྡེ་གིས་ རེ་སྤྲོད་དོ་ཡོདཔ་བཞིན་དུ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལལས་སྡེའི་རྩིས་ཁང་གི་སྐོར་ལས་ རྩོམ་རིག ཁྲོམ་སྡེ་ལུ་ གནས་སྐབས་ཅིག་གི་དོན་ལུ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལགཅིག་མཐུན་བཟོ་ཚུགས་ཟེར་ཨིན་པས།,201,48
ཁྲོམ་སྡེ་འགོ་དཔོན་གྱིས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལཁོང་རའི་ཟླ་རིམ་དངུལ་ཕོགས་ནང་ལས་ ཉེས་ཚོགས བསྡུ་ལེན་འབད་དོ་ཡོདཔ་ད་ ལག་ལེན་པ་ཚུ་གིས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལལས་བྱེདཔ་༡༨ མདའ་རྩེད རེ་སྤྲོད་དོ་ཡོདཔ་ཨིན་པས།,199,49
ཁྲོམ་སྡེ་འགོ་དཔོན་གྱིས་ གྲོས་འཛོམས་ཅིག་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལབསྡུ་ལེན་འབད་དོ་ཡོདཔ་ད་ གར་རྩལ ལག་ལེན་པ་ཚུ་གིས་ ཉིན་བསྟར་གྱི་འོང་འབབ་ལུ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལརེ་སྤྲོད་དོ་ཡོདཔ་ཨིན་པས།,185,45
ཀེ་སི་ཨར་གྱི་བསྡུ་ལེན་འབད་མི་ཚུ་གིས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལནོར་འཛིན་ལམ་ ཆེད་གཞི ཤེས་ཡོན་མེད་མི་ཚུ་ལུ་ སྣུམ་འཁོར་བཞག་འཐུས་ལས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལསྣུམ་འཁོར་བཞག་ཐང་ལས་ འགོད་རིམ འཐུས་ཚུ་བསྡུ་ལེན་འབད་དོ་ཡོདཔ་ཨིན་པས།,217,54
ཀེ་སི་ཨར་གྱི་བསྡུ་ལེན་འབད་མི་ཚུ་གིས་ ཀྱི་ཁྱབ་ཚད་ནང་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལཤེས་ཡོན་མེད་མི་ཚུ་ལུ་ སྟག་ཚང སྣུམ་འཁོར་བཞག་འཐུས་ལས་ ལག་ལེན་རིམ་ལུགས་ཚུ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ འཐུས་ཚུ་བསྡུ་ལེན་འབད་དོ་ཡོདཔ་ཨིན་པས།,209,54
ཀེ་སི་ཨར་གྱི་བསྡུ་ལེན་འབད་མི་ཚུ་གིས་ ནགས་ཚལ ཀྱི་ཁྱབ་ཚད་ནང་ དེ་གི་ཁེ་འཐུས་ཚུ་གི་སྤྲོད་རིམ་ཡོདཔ་ད་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ སྣུམ་འཁོར་བཞག་འཐུས་ལས་ རྫོང ལག་ལེན་རིམ་ལུགས་ཚུ་ རེ་བསྡུ་ལེན་འབད་དོ་ཡོདཔ་ཨིན་པས།,201,52
དེ་འབདཝ་ད་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལཀྱི་ཁྱབ་ཚད་ནང་ མཆོད་རྟེན དེ་གི་ཁེ་འཐུས་ཚུ་གི་སྤྲོད་རིམ་ཡོདཔ་ད་ ཟླཝ་རེ་ནང་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལལག་ལེན་རིམ་ལུགས་ཚུ་ འབྲུག་འཕྲིན་གླིང་ རེ་བསྡུ་ལེན་འབད་དོ་ཡོདཔ་ཨིན་པས།,202,50
དེ་འབདཝ་ད་ ཐོ་ཡིག་རིམ་ལུགས་ཚུ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལདེ་གི་ཁེ་འཐུས་ཚུ་གི་སྤྲོད་རིམ་ཡོདཔ་ད་ དགོན་པ ཟླཝ་རེ་ནང་ སླབ་ཨིན་པས།,122,32
ལས་སྡེ་གིས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ,36,10
སྤྱི་ཟླ་༧ པ་ལས་ ངང་ལམ་དོས་ཕབ་ལེན་འབད་སར་ ལག་ལེན་འགོབཙུགས་ནི།,60,16
༉ ངང་ལམ་དཔལ་འཛོམས་ཐང་ནང་ དོས་ཕབ་ལེན་འབད་སར་ སྦོམ་ཤོས་ཅིག་ བཟོ་སྐྲུན་འབད་མི་དེ་ མཇུག་བསྡུ་ནི་གུ་ ལྷོད་ཡོདཔ་ལས་ དུས་ཅི་ སྤྱི་ཟླ་༧ པ་ལས་ ལག་ལེན་འགོབཙུགས་ནིའི་ ལས་རིམ་ཡོདཔ་ཨིན་པས།,175,43
ལས་འགུལ་གྱི་དོན་ལས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལཕུན་ཚོགས་གླིང་ལས་ སྟག་ཚང སྦོམ་ཤོས་ཅིག་ ཚལ་ལུ་ཚུ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལསླབ་མིའི་ནང་ ཀུན་གསལ བཤདཔ་ཨིན་པས།,150,37
ལས་འགུལ་གྱི་དོན་ལས་ རྒྱ་གར་གྱི་ས་མཚམས་ཀྱི་ཉེ་འདབས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལསྦོམ་ཤོས་ཅིག་ སྤ་རོ ཚལ་ལུ་ཚུ་ སླབ་མིའི་ནང་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལབཤདཔ་ཨིན་པས།,154,39
ལས་འགུལ་གྱི་དོན་ལས་ རྒྱུ་དཀའ།,29,7
དོས་ཕབ་ལེན་འབད་སར་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལལཱ་བརྒྱ་ཆ་༩༠ རི་མོ ལྟེ་བ་ཅིག་ལུ་ ཀུན་ལེགས་རྡོ་རྗེ་གིས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལསོ་ནམ་པ་ཚུ་གིས་ གོ འགྱུར་ནི་ཨིན་པས།,157,42
དོས་ཕབ་ལེན་འབད་སར་ ད་རེས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལལྟེ་བ་ཅིག་ལུ་ ཁྱི ཀུན་ལེགས་རྡོ་རྗེ་གིས་ བཟོ་སྐྲུན་འབད་ནི་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལའགྱུར་ནི་ཨིན་པས།,148,37
དོས་ཕབ་ལེན་འབད་སར་ ཕྱུག་མ ད་རེས་ དོས་ཕབ་ལེན་འབད་སའི་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལཀུན་ལེགས་རྡོ་རྗེ་གིས་ པདྨ བཟོ་སྐྲུན་འབད་ནི་ ཕྱིའི་ལཱ་ཚོན་གཏང་ནི་དང་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ,169,43
འཇིགས་མེད་རྡོ་རྗེ་རྒྱལ་ཡོངས་གླིག་ག་ཡང་ཡོདཔ་མ་ཚད་ འབྲུག མོ་ར་མནོ་ནི་བཏགསཔ་ཅིག་ལས་འགོ་བཙུགས་ རེ་བ་ལས་འབད་རུང་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ མེའི་འོད་མདངས་དེ་ རྡོ་རྗེ གཡུས་ཚན་གཞན་མི་ཚུ་ ཚ་གྱང་ཡོདཔ་སྦེ་ཨིན་པས།,200,51
ངེ་གི་ཨའི་གིས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལམོ་ར་མནོ་ནི་བཏགསཔ་ཅིག་ལས་འགོ་བཙུགས་ མདའ་རྩེད རེ་བ་ལས་འབད་རུང་ དུ་པ་གིས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལགཡུས་ཚན་གཞན་མི་ཚུ་ འབྲུག ཚ་གྱང་ཡོདཔ་སྦེ་ཨིན་པས།,182,47
ངེ་གི་ཨའི་གིས་ ལཱ་འབད་ཡོདཔ་ལས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལརེ་བ་ལས་འབད་རུང་ རིག་གཞུང དུ་པ་གིས་ འབྲུག་གི་གཡུས་ཚན་གློག་མེ་མེད་པར་ལུས་སོཔ་ཨིན་ན་དང་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལཚ་གྱང་ཡོདཔ་སྦེ་ཨིན་པས།,187,49
ངེ་གི་ཨའི་གིས་ ཐིམ་ཕུ ལཱ་འབད་ཡོདཔ་ལས་ མ་འོངས་པའི་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལདུ་པ་གིས་ མོག་མོག འབྲུག་གི་གཡུས་ཚན་གློག་མེ་མེད་པར་ལུས་སོཔ་ཨིན་ན་དང་ འདི་བཟུམ་གྱི་ལས་འགུལ་དེ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལལཱ་འབད་ཡོདཔ་ལས་ རྒྱུ་དཀའ།,216,55
གློག་མེ་འཕྲུལ་ཁང་བསྒྲུབ་སྟེ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལདེ་གིས་ གཞུང་རྒྱུན གནམ་གྲུ་ཧེ་ལི་ཀོབ་ཊར་གྱི་ཐོག་ལས་ ཡོད་མི་ལས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལབྱང་ཁ་ཐུག་ལུ་ཡོད་པའི་ དཀྱིལ་ར སྐྱེལ་འདྲེན་འབད་ནི་ཨིན་ཟེར་ཨིན་པས།,204,50
གློག་མེ་འཕྲུལ་ཁང་བསྒྲུབ་སྟེ་ གློག་མེ་ལས་འགུལ་འབྲིང་མ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ གནམ་གྲུ་ཧེ་ལི་ཀོབ་ཊར་གྱི་ཐོག་ལས་ ལས་བཟོ ཡོད་མི་ལས་ རྟ་དང་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལསྐྱེལ་འདྲེན་འབད་ནི་ཨིན་ཟེར་ཨིན་པས།,195,49
གློག་མེ་འཕྲུལ་ཁང་བསྒྲུབ་སྟེ་ བདེ་སྨིན གློག་མེ་ལས་འགུལ་འབྲིང་མ་ སྤྱི་ལོ་༢༠༢༤ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལཡོད་མི་ལས་ སྟག་ཚང རྟ་དང་ ག་ཅི་སྦེ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལགློག་མེ་ལས་འགུལ་འབྲིང་མ་ དགོན་པ སྤྱི་ལོ་༢༠༢༤ བཙུགས་ཡོདཔ་སྦེ་ཨིན་པས།,226,55
ལུང་ནག་ནང་གི་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ རྟ་དང་ གྲོང་ཚོ ག་ཅི་སྦེ་ འགོ་དང་པ་ཨིན་པས།,80,23
ལས་འགུལ་དེ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ སྤྱི་ལོ་༢༠༢༤ ཁྱི བཙུགས་ཡོདཔ་སྦེ་ཨིན་པས།,76,19
ལུང་ནག་ནང་གི་ ལས་མི་ཚུ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལག་ཅི་སྦེ་ མོག་མོག འགོ་དང་པ་ཨིན་པས།,82,23
ལས་འགུལ་དེ་ དེ་ཁར་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལབཙུགས་ཡོདཔ་སྦེ་ཨིན་པས།,65,16
ལུང་ནག་ནང་གི་ ཆོས་ལྡན་ ལས་མི་ཚུ་ ད་ལྟོ་ཨ་ལུ་ཨིནམ་ད་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ འགོ་དང་པ་ཨིན་པས།,93,27
ཡུདཔ་ཐེངས་ཅིག་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ རྒྱལ་ཁབ་ནང་ རྫོང་ཁ ཆུང་བ་གཞི་བཙུགས་འབད་ནི་ཨིནམ་ད་ གཡུས་ཚན་དག་པ་ཅིག་ནང་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལདེ་ཡང་ གཡག འགྱོ་དོ་ཡོདཔ་ཨིན་པས།,166,43
ཡུདཔ་ཐེངས་ཅིག་ མ་དངུལ་ཚུ་དགོཔ་ཡོདཔ་སྦེ་ཨིན་པས།,46,11
